年次,上位10%_年収,上位10%_投資,上位10%_貯金,標準50%_年収,標準50%_投資,標準50%_貯金,下位25%_年収,下位25%_投資,下位25%_貯金
1,340.0,55.664144895325705,54.4,340.0,55.664144895325705,54.4,340.0,55.664144895325705,54.4
2,390.0,122.36207674853739,116.80543999999999,340.0,114.17617308746009,108.80543999999999,340.0,114.17617308746009,108.80543999999999
3,430.0,199.0211243090076,185.617120544,390.0,183.8676913518908,171.21632054399998,340.0,175.6817876908134,163.21632054399998
4,480.0,307.4342666801405,281.6356822560544,430.0,281.2731757571673,257.23344217605444,365.0,259.3663722796616,236.2326421760544
5,520.0,429.5799348313803,385.66384582428003,455.0,388.7782993968809,348.259165520272,390.0,352.44860882769296,314.25626544027205
6,555.0,565.1374728867127,496.7024122088624,480.0,506.89977898218575,444.293991436824,410.0,454.3860610871366,396.287691066816
7,590.0,714.7930575645732,614.7520824500833,500.0,635.1575294742114,544.3384208359678,430.0,565.6317786999412,482.3273198359227
8,645.0,909.7604628241094,769.6135576583283,520.0,795.3534912487909,669.1928546780514,446.6666666666667,704.2616830588861,589.5755525679064
9,700.0,1128.2095116025782,937.690519014094,543.3333333333334,969.475515023501,799.6597739635192,463.3333333333333,854.077108258537,700.8345101231631
10,750.0,1370.1136837986285,1117.7842880659955,566.6666666666666,1158.2360845602893,935.7397399409155,480.0,1015.6503267738995,816.1045935741754
11,800.0,1636.672988041354,1309.896066494802,590.0,1362.3841356425694,1077.4333139149096,493.3333333333333,1188.7642992597978,934.5862040335328
12,850.0,1929.1488276787884,1514.0270561014515,626.6666666666666,1585.981282494262,1227.9410572463012,506.6666666666667,1374.0094725923534,1056.2796626539362
13,900.0,2248.867141848243,1730.1784588070616,663.3333333333334,1830.0225777670125,1387.2638513520258,520.0,1572.0065020304633,1181.1852906202014
14,926.6666666666666,2591.491574687015,1952.7514766529423,700.0,2095.5539828946175,1555.402577737161,543.3333333333334,1785.863567832327,1311.7034091492635
15,953.3333333333334,2958.1940466993365,2181.7467518006074,733.3333333333334,2382.8563823168333,1731.5581179949347,566.6666666666666,2016.3920995587841,1447.8345794901782
16,980.0,3310.0955081273114,2377.9649264757877,766.6666666666666,2661.6643240530757,1885.0646071400672,590.0,2240.2966252468327,1565.9793629481273
17,1010.0,3686.140343935109,2580.202722968435,800.0,2961.5581956172755,2045.2531136007813,605.0,2478.7262452862947,1687.135960884422
18,1040.0,4087.563774977267,2788.4607432407315,833.3333333333334,3283.6167931980326,2212.124305578808,620.0,2732.4240910711,1811.3046744805106
19,1070.0,4515.664218351545,3002.7395893150556,866.6666666666666,3628.974106244386,2385.678851342699,635.0,3002.1713140076677,1938.4858049479585
20,1100.0,4971.806520638672,3223.039863273987,900.0,3998.8221412577545,2565.9174192278338,650.0,3288.7890306909007,2068.6796535284534
